Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
55,3.0,0.0,0.0,124.0,1.0,124.0,3679.0,0.1,101.0,0.0,0.0,561.8961179256439,,,,,,,,,,,,,,,,,,,,,6.407188985985367,1.7663101925240472,8.244053913440696,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3.0,0.0,0.0,163.0,2.0,39.0,3718.0,0.1,28.0,0.0,0.0,565.7141952514648,,,,,,,,,,,,,,,,,,,,,4.720261743572645,1.9695278339837314,7.63064958688019,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3.0,0.0,0.0,196.0,3.0,33.0,3751.0,0.1,23.5,0.0,0.0,568.960597038269,,,,,,,,,,,,,,,,,,,,,4.497872276091221,2.009741750732994,7.345591150153369,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3.0,0.0,0.0,288.0,4.0,92.0,3843.0,0.1,67.5,0.0,0.0,577.7396130561829,,,,,,,,,,,,,,,,,,,,,5.583590831062329,1.880462457601807,8.174356204588415,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3.0,0.0,0.0,370.0,5.0,82.0,3925.0,0.1,66.5,0.0,0.0,585.3158001899719,,,,,,,,,,,,,,,,,,,,,6.239899460138874,2.132842826568813,8.199195016137987,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.0,0.0,0.0,511.0,6.0,141.0,4066.0,0.1,104.0,0.0,0.0,598.2775535583496,,,,,,,,,,,,,,,,,,,,,5.811741683630364,1.4261719235761918,8.00748786500453,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,575.0,7.0,64.0,4130.0,0.1,49.0,0.0,0.0,604.3073933124542,,,,,,,,,,,,,,,,,,,,,5.567386784373803,2.1338598569985816,8.061040154970557,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,626.0,8.0,51.0,4181.0,0.1,39.0,0.0,0.0,609.2597439289093,,,,,,,,,,,,,,,,,,,,,5.34439926227654,2.2210717748135336,8.125357069818664,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,659.0,9.0,33.0,4214.0,0.1,25.5,0.0,0.0,613.1178333759308,,,,,,,,,,,,,,,,,,,,,4.89521198023521,2.367622814441332,7.896385018425324,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,753.0,10.0,94.0,4308.0,0.1,65.5,0.0,0.0,622.0506417751312,,,,,,,,,,,,,,,,,,,,,5.282955459467235,1.467673981019924,7.629471096603282,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,785.0,11.0,32.0,4340.0,0.1,20.5,0.0,0.0,625.6887176036835,,,,,,,,,,,,,,,,,,,,,3.9686284153574887,1.8111528226140208,6.912394461459972,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,816.0,12.0,31.0,4371.0,0.1,19.5,0.0,0.0,628.9659790992737,,,,,,,,,,,,,,,,,,,,,3.8219330892251455,1.670873785252927,6.821292494941188,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,883.0,13.0,67.0,4438.0,0.1,47.0,0.0,0.0,635.2574458122253,,,,,,,,,,,,,,,,,,,,,5.126896110909719,1.7830145261712145,7.637085559721181,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,956.0,14.0,73.0,4511.0,0.1,46.5,0.0,0.0,642.0721597671509,,,,,,,,,,,,,,,,,,,,,4.644655437016941,1.4938609508892569,7.506222070934388,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,998.0,15.0,42.0,4553.0,0.1,27.0,0.0,0.0,646.6644337177277,,,,,,,,,,,,,,,,,,,,,4.297494499527364,1.5973554072464053,6.896471748943812,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1055.0,16.0,57.0,4610.0,0.1,43.5,0.0,0.0,652.1218962669373,,,,,,,,,,,,,,,,,,,,,5.57736440748872,2.0814127903729602,8.026761654977571,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1109.0,17.0,54.0,4664.0,0.1,43.0,0.0,0.0,657.2651731967926,,,,,,,,,,,,,,,,,,,,,5.6538301394716575,2.3477020620927593,8.216917221363195,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4.0,0.0,0.0,0.0,0.0,45.0,4709.0,0.1,31.5,0.0,0.0,704.0653133392334,,,,,,,,,1.2435067,0.22401609,1.6120346,1.0343366,,,,,31.888985,23.512718,125.97879,7.254931,4.791103941339277,1.7962965241768851,7.267611979297397,0.5,2.1331682,0.0,2.1331682,2.1331682,2.4628864324440213e-17,0.9999999919285468,4.86008136836933,-2.788833390179322,6.5148726,2.1177297,10.133641,1.1735374,1.3427327,0.17549524,1.6297582,1.1756964,-0.077851065,0.04866291,0.0036796054,-0.12002805,5.6753148003432825,2.0092035099344656,8.364977577139936,0.5,0.07926289,0.0,0.07926289,0.07926289,1.0269021,0.91204137,33.728073,0.016348552,0.99018025,0.14816746,1.2,0.8
73,4.0,0.0,0.0,142.0,1.0,142.0,4851.0,0.1,114.0,0.0,0.0,766.0679354667664,,,,,,,,,,,,,,,,,,,,,6.3403114510186995,1.7618212705290575,8.274373183639756,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4.0,0.0,0.0,319.0,2.0,177.0,5028.0,0.1,142.0,0.0,0.0,781.9705002307892,,,,,,,,,,,,,,,,,,,,,6.403307870926043,1.600069769836127,8.179200161914148,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4.0,0.0,0.0,434.0,3.0,115.0,5143.0,0.1,93.0,0.0,0.0,792.9603679180145,,,,,,,,,,,,,,,,,,,,,6.299735945504199,1.8200016193693598,8.055971668609883,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4.0,0.0,0.0,551.0,4.0,117.0,5260.0,0.1,95.0,0.0,0.0,803.8208508491516,,,,,,,,,,,,,,,,,,,,,6.313178841474985,2.0376366421398573,8.306327245132094,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4.0,0.0,0.0,636.0,5.0,85.0,5345.0,0.1,67.0,0.0,0.0,811.7123482227325,,,,,,,,,,,,,,,,,,,,,5.984844505604794,1.8350947421202215,7.942651514787082,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4.0,0.0,0.0,758.0,6.0,122.0,5467.0,0.1,98.5,0.0,0.0,822.7285189628601,,,,,,,,,,,,,,,,,,,,,6.317517087256155,1.7581789831912094,8.224193141406412,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
